word,count
不,2920
之,2188
心,1409
无,1395
一,1320
人,1207
天,1019
风,1012
大,832
如,829
言,707
生,672
而,655
有,622
自,587
山,586
地,557
相,535
日,528
头,517
水,504
目,503
三,497
高,483
马,481
成,481
下,465
气,449
云,445
神,437
以,433
金,431
口,427
情,422
行,422
万,415
花,413
出,407
玉,397
意,392
千,392
名,389
道,384
流,379
为,378
文,376
世,373
龙,373
然,370
百,370
手,365
月,357
同,356
事,355
门,353
可,351
死,349
见,347
声,345
长,342
面,342
知,332
虎,331
中,328
雨,326
明,320
海,318
上,318
家,313
子,311
身,310
眼,308
难,307
食,305
重,302
发,302
白,297
火,295
时,290
深,290
分,286
作,285
其,284
安,282
得,278
力,274
老,270
飞,270
鱼,270
绝,267
穷,266
足,266
东,266
才,264
年,263
清,262
里,261
入,258
色,257
若,256
国,256
功,253
耳,253
来,249
小,247
语,246
后,245
断,245
正,244
义,244
衣,243
利,242
古,242
所,240
眉,240
远,238
骨,237
落,235
石,235
凤,235
恶,232
思,229
四,226
失,225
多,225
民,223
尽,221
物,220
光,220
过,220
立,215
当,212
轻,211
两,211
求,210
兵,210
方,210
德,209
形,209
公,209
舌,208
望,207
非,205
惊,205
于,204
众,202
满,201
胆,199
西,199
说,197
交,196
前,196
善,196
连,194
乱,194
平,192
俗,192
空,192
闻,191
八,191
好,190
通,190
合,188
归,187
举,186
开,186
经,186
从,185
理,185
外,185
离,184
去,184
影,183
木,183
计,183
反,182
新,182
虚,182
命,181
志,181
在,178
首,178
草,178
遗,178
五,177
忘,177
破,177
黄,176
打,174
变,174
珠,174
乐,172
节,172
朝,172
进,170
直,169
书,169
势,168
步,168
车,168
动,168
苦,165
本,165
起,165
指,164
取,163
半,163
酒,163
论,162
学,161
牛,161
九,160
路,159
雪,159
祸,159
河,158
笑,158
短,158
精,157
鬼,157
鸡,157
容,156
投,155
异,155
扬,155
实,152
视,152
能,151
易,151
春,151
星,151
守,150
青,150
二,150
是,150
狗,148
毛,148
故,148
斗,148
用,147
张,146
横,146
解,146
独,145
极,145
夜,144
魂,143
土,143
强,143
冰,143
胜,142
士,142
居,142
应,141
至,141
辞,140
今,140
折,139
兴,139
回,139
鼓,139
走,139
负,139
弄,138
怀,137
群,137
肉,136
背,136
就,136
干,136
谈,136
随,136
笔,136
倒,135
己,135
孤,135
十,135
余,135
劳,134
根,134
奇,134
法,134
机,133
香,133
谋,133
先,133
顾,133
秋,132
微,132
狼,132
七,131
齿,131
露,131
罪,131
未,131
迹,130
鼠,130
铁,130
引,130
贵,129
移,129
红,128
舞,128
亲,127
贤,127
肠,127
腹,127
观,126
寡,126
弃,125
沉,124
武,124
鹤,123
脚,123
危,123
和,123
私,123
鸣,123
寒,123
刀,123
悬,123
游,123
积,123
爱,122
信,122
女,122
待,120
往,120
户,119
别,119
舍,119
常,119
达,119
急,119
亡,119
恩,119
画,119
美,119
嘴,118
化,118
识,117
少,117
词,117
角,117
问,117
残,116
争,116
牙,116
枝,116
战,116
虑,116
将,116
暮,116
寸,116
顺,115
及,115
甲,115
没,115
定,114
结,114
业,114
败,114
转,114
章,114
体,114
尘,114
息,113
坐,113
柳,113
与,112
梦,112
歌,112
卖,112
欲,110
痛,110
济,110
疾,110
饮,110
全,109
主,109
临,109
燕,109
比,108
并,108
旧,108
藏,108
夺,108
拔,108
推,108
散,108
莫,107
浪,107
福,107
放,107
逐,106
井,106
终,106
听,106
喜,105
杀,105
脑,105
巧,105
改,105
传,105
丝,104
富,104
华,104
血,104
南,104
退,104
枕,103
度,103
鼎,103
鸿,102
波,102
妙,102
含,102
官,102
间,102
养,102
烟,102
磨,101
关,101
带,100
荡,100
齐,100
城,100
夫,100
曲,99
伤,99
野,99
屈,99
礼,99
皮,99
六,99
壁,99
我,99
末,99
肝,99
会,98
履,97
尺,97
怪,97
忧,97
盈,97
甘,97
累,97
敌,96
鸟,96
真,96
怒,96
怨,95
冠,95
尾,95
唇,95
叶,95
受,94
羊,94
索,94
切,94
威,94
摇,94
致,94
迷,94
抱,94
鸾,94
浮,94
屋,93
财,93
贪,93
林,93
复,93
处,92
锦,92
使,91
击,91
智,91
接,91
良,90
枯,90
持,90
源,90
树,90
颜,90
毫,90
江,90
堂,90
仁,89
贫,89
存,89
暴,89
阳,89
岁,89
必,88
肩,88
呼,88
儿,88
报,88
任,88
附,88
奸,88
戈,88
墨,88
乘,88
权,87
楚,87
披,87
追,87
室,86
字,86
贯,86
何,86
师,86
隐,86
愁,85
欢,85
蛇,85
因,85
博,84
暗,84
倾,84
薄,84
兼,84
性,84
厉,84
墙,83
荣,83
音,83
北,83
病,83
穿,83
点,83
令,83
竭,83
简,83
久,83
救,82
避,82
犬,82
图,81
剑,81
类,81
朱,81
活,81
此,81
广,81
覆,80
胸,80
寻,80
垂,80
疑,80
热,80
吹,80
竹,79
者,79
内,79
超,79
饭,79
丧,79
涂,79
丰,79
狐,79
伏,79
刻,79
吞,78
雄,78
布,78
称,78
造,78
近,78
止,78
调,78
决,78
冲,78
束,77
阴,77
冷,77
厚,77
尊,76
弱,76
盘,76
谷,76
薪,76
细,76
雕,76
运,76
夕,76
共,75
原,75
黑,75
假,75
快,75
对,75
消,74
紫,74
代,74
电,74
素,73
闲,73
集,73
废,73
赏,73
患,73
桃,73
错,73
朽,73
瓦,73
忍,72
逸,72
沙,72
登,72
俱,72
雾,72
灭,72
收,72
碎,72
恨,71
静,71
魄,71
雷,71
坚,71
害,71
想,71
治,70
已,70
圆,70
席,70
采,70
诚,70
加,70
臣,70
施,70
片,70
床,70
钟,70
仰,70
胡,70
各,70
感,69
做,69
敬,69
低,69
王,69
修,69
始,69
补,69
迁,68
灰,68
囊,68
李,68
焚,68
悲,68
友,68
乡,68
逆,68
左,68
底,68
返,68
昏,68
梁,67
霜,67
越,67
吃,67
舟,67
端,67
英,67
振,67
聚,67
双,67
由,67
则,67
翻,67
阿,66
绿,66
欺,66
攻,66
零,66
载,66
驰,66
置,66
教,66
肥,66
蹈,66
蜂,66
貌,65
奔,65
君,65
汤,65
雅,65
粉,65
景,65
忠,65
逢,64
除,64
纵,64
材,64
餐,64
桑,64
量,64
蓬,64
弦,64
卧,63
偷,63
踵,63
市,63
泣,63
勇,63
徒,63
招,63
扶,63
枉,63
雀,63
盗,62
塞,62
泰,62
向,62
盖,62
臂,62
颠,62
拳,62
秀,62
楼,62
盛,62
闭,62
买,62
兰,62
烂,62
雁,62
男,62
析,62
历,62
纳,61
疏,61
街,61
依,61
掩,61
翼,61
狂,61
泥,61
益,61
规,61
柔,61
脸,60
瑕,60
巷,60
洗,60
誉,60
飘,60
饥,59
羞,59
羽,59
营,59
固,59
休,59
璧,59
壮,59
潜,59
留,58
陈,58
途,58
客,58
鳞,58
管,58
继,58
句,58
策,58
议,58
换,58
趋,57
哀,57
裘,57
寿,57
瓜,57
数,57
要,57
戴,57
制,57
汗,57
弹,57
宝,56
军,56
针,56
漏,56
更,56
妄,56
醉,56
纸,56
洋,56
辙,56
膏,56
捉,56
措,56
宿,56
垢,56
触,56
牵,56
承,55
服,55
叹,55
浅,55
乌,55
贼,55
循,55
寝,55
工,55
执,55
征,55
邪,55
违,55
洞,55
凿,55
还,55
右,55
豪,54
淡,54
约,54
灵,54
再,54
辱,54
仇,54
姿,54
味,54
渊,54
巢,54
泪,54
奉,53
习,53
密,53
旗,53
蝇,53
赤,53
蚁,53
凡,53
条,53
彩,53
绳,53
态,53
革,53
装,53
畏,53
殊,53
照,53
镜,53
烈,53
毁,52
算,52
遇,52
了,52
弟,52
筹,52
田,52
操,52
只,52
质,52
果,52
单,52
著,52
周,51
贱,51
傲,51
灾,51
兔,51
冤,51
表,51
杯,51
刺,51
严,51
妇,51
靡,51
旁,51
乎,51
迎,50
支,50
克,50
裂,50
隙,50
袖,50
价,50
哭,50
扫,50
繁,50
挂,50
幽,50
旷,50
似,50
温,50
艳,49
销,49
罗,49
倚,49
升,49
绣,49
备,49
吐,49
纷,49
烛,49
掌,49
淫,49
看,48
器,48
油,48
弊,48
据,48
饱,48
泽,48
吊,48
肤,48
拿,48
割,48
皇,48
台,48
焦,48
娇,47
默,47
费,47
荒,47
到,47
昼,47
皆,47
泉,47
握,47
杂,47
测,47
宜,47
择,47
缘,47
攀,47
伦,47
遁,47
彻,47
庭,47
惟,47
苟,46
释,46
顿,46
厌,46
穴,46
刚,46
格,46
封,46
敛,46
腾,46
粗,46
窥,46
助,45
念,45
责,45
期,45
敲,45
丹,45
元,45
宗,45
着,45
拙,45
缺,45
弓,45
芒,45
借,45
挥,45
矢,45
骇,45
巨,45
松,45
妻,45
禄,45
昭,45
崩,45
矩,45
父,44
渴,44
象,44
领,44
包,44
样,44
摧,44
荆,44
药,44
犯,44
锋,44
辉,44
跃,44
鹰,44
窃,44
昧,43
悔,43
儒,43
诸,43
孙,43
俯,43
腰,43
肆,43
染,43
奋,43
差,43
绵,43
略,43
漫,43
软,43
党,42
戏,42
珍,42
困,42
踪,42
察,42
箭,42
灯,42
拜,42
话,42
虫,42
愚,42
卑,42
躬,42
朋,42
旦,42
尔,42
逾,42
桂,42
显,42
沸,42
托,42
赫,42
杜,42
琴,42
隔,42
险,41
斤,41
探,41
拉,41
抽,41
赴,41
伐,41
拾,41
斯,41
敢,41
祖,41
翠,41
撞,41
罚,41
刑,41
慎,41
告,40
骂,40
顶,40
怜,40
恭,40
状,40
骥,40
送,40
巴,40
丁,40
川,40
毒,40
孔,40
史,40
髓,40
响,40
池,40
优,40
脱,40
圣,40
拥,40
豆,40
诗,40
矫,40
宾,39
迭,39
叠,39
永,39
现,39
愤,39
窗,39
芳,39
吉,39
兽,39
务,39
耻,39
衔,39
跳,39
诛,39
委,39
凶,39
政,39
忙,39
须,39
镂,39
秦,39
瘦,39
案,38
枪,38
参,38
敝,38
效,38
痴,38
缩,38
艰,38
甚,38
驱,38
骄,38
卓,38
莺,38
米,38
提,38
延,38
轮,37
适,37
丘,37
童,37
禁,37
柱,37
唱,37
辨,37
筋,37
饰,37
滴,37
网,37
廉,37
整,37
混,37
弥,36
佛,36
母,36
惜,36
防,36
摸,36
凌,36
爽,36
辩,36
丑,36
佳,36
彼,36
庸,36
尸,36
竖,36
鹿,36
污,36
偃,36
龟,36
误,36
唯,36
砺,36
拖,36
鹄,36
麻,36
夏,36
遥,36
等,36
鼻,35
媚,35
攘,35
肚,35
仙,35
卷,35
刃,35
陵,35
萧,35
誓,35
旋,35
展,35
钻,35
坠,35
次,35
涕,35
锐,35
碌,35
阁,35
遮,35
烦,35
姓,35
便,35
洁,35
诡,35
聋,35
愧,35
勤,35
衰,35
船,35
沾,35
吟,35
注,35
骑,35
摩,35
铜,35
宁,34
界,34
茅,34
玩,34
冥,34
境,34
位,34
茂,34
鞭,34
驾,34
标,34
壶,34
惑,34
拘,34
抹,34
剖,34
篇,34
惨,34
丽,34
抵,34
续,34
太,33
班,33
壑,33
板,33
苍,33
忌,33
霞,33
宽,33
碧,33
滚,33
慌,33
即,33
线,33
设,33
冬,33
扯,33
釜,33
栋,33
停,33
浑,33
增,33
惹,33
保,32
场,32
钱,32
稳,32
团,32
稀,32
阔,32
慢,32
堪,32
完,32
羹,32
粟,32
被,32
蒙,32
耕,32
夷,32
埋,32
趣,32
壤,32
麟,32
睹,32
典,32
犹,32
际,32
术,32
列,32
玄,32
襟,32
添,32
授,32
琼,32
宵,32
降,32
损,32
熊,32
吠,32
职,32
韬,32
戚,31
邦,31
胎,31
献,31
郎,31
鉴,31
堕,31
挑,31
阵,31
斧,31
技,31
宫,31
恋,31
充,31
号,31
毕,31
肺,31
拨,31
涌,31
料,31
冒,31
羁,31
腐,31
科,31
浊,31
泛,31
晨,31
撒,31
妆,31
震,31
蝶,31
跌,31
栖,31
邻,31
压,31
愿,31
悦,31
专,30
昂,30
伸,30
刮,30
援,30
丈,30
股,30
获,30
具,30
衡,30
宇,30
环,30
让,30
拱,30
额,30
研,30
边,30
径,30
鬓,30
诈,30
瞻,30
矜,30
孝,30
绪,30
卵,30
种,30
啼,30
乖,30
初,30
忽,30
悠,30
钩,30
砥,30
突,30
银,30
盲,30
慈,29
籍,29
茹,29
搜,29
盟,29
匿,29
律,29
虐,29
寄,29
惠,29
歪,29
蔽,29
鹊,29
偏,29
偶,29
臭,29
逃,29
痒,29
否,29
激,29
郁,29
妖,29
戒,29
簪,29
豕,29
棘,29
袭,29
沥,29
鲁,29
浩,29
猛,29
陶,29
按,28
醋,28
府,28
劫,28
腮,28
汉,28
圭,28
